date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:27	326/326	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20May%202018%2020:56:27%20GMT	https://www.harvestcoin.org/robots.txt		(from )
16:56:27	20692/20692	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202018%2010:14:57%20GMT	https://www.harvestcoin.org/	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/index.html	(from )
16:56:27	2108/2108	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Oct%202017%2005:32:04%20GMT	https://www.harvestcoin.org/images/favicon-32x32.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/favicon-32x32.png	(from https://www.harvestcoin.org/)
16:56:28	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/harvest/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.harvestcoin.org/)
16:56:29	30766/30766	---M--	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2010:14:09%20GMT	https://www.harvestcoin.org/css/style.css	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/css/style.css	(from https://www.harvestcoin.org/)
16:56:29	41923/41923	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202017%2015:32:30%20GMT	https://www.harvestcoin.org/css/animations.css	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/css/animations.css	(from https://www.harvestcoin.org/)
16:56:30	26/26	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202017%2015:32:30%20GMT	https://www.harvestcoin.org/css/animations-ie-fix.css	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/css/animations-ie-fix.css	(from https://www.harvestcoin.org/)
16:56:30	4449/4449	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Oct%202017%2009:23:22%20GMT	https://www.harvestcoin.org/css/responsive-only.css	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/css/responsive-only.css	(from https://www.harvestcoin.org/)
16:56:31	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/harvest/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.harvestcoin.org/)
16:56:32	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%221519106283%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/harvest/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://www.harvestcoin.org/)
16:56:32	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/harvest/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://www.harvestcoin.org/)
16:56:32	15401/15401	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202017%2019:40:32%20GMT	https://www.harvestcoin.org/images/logo.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/logo.png	(from https://www.harvestcoin.org/)
16:56:33	20692/20692	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202018%2010:14:57%20GMT	https://www.harvestcoin.org/index.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/index-2.html	(from https://www.harvestcoin.org/)
16:56:34	14261/14261	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202018%2010:15:48%20GMT	https://www.harvestcoin.org/masternode.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/masternode.html	(from https://www.harvestcoin.org/)
16:56:34	6530/6530	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Apr%202018%2005:22:59%20GMT	https://www.harvestcoin.org/download-white-paper.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/download-white-paper.html	(from https://www.harvestcoin.org/)
16:56:35	6823/6823	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202018%2010:16:16%20GMT	https://www.harvestcoin.org/road-map.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/road-map.html	(from https://www.harvestcoin.org/)
16:56:36	237403/237403	---M--	200	added ('OK')	application/pdf	date:Sat,%2028%20Oct%202017%2003:44:04%20GMT	https://www.harvestcoin.org/images/HMC_WHITEpaper.pdf	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/HMC_WHITEpaper.pdf	(from https://www.harvestcoin.org/)
16:56:36	7798/7798	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2006:37:13%20GMT	https://www.harvestcoin.org/sign_in.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/sign_in.html	(from https://www.harvestcoin.org/)
16:56:36	3124/3124	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:50%20GMT	https://www.harvestcoin.org/images/hw1.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/hw1.png	(from https://www.harvestcoin.org/)
16:56:37	5110/5110	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:50%20GMT	https://www.harvestcoin.org/images/hw2.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/hw2.png	(from https://www.harvestcoin.org/)
16:56:38	3647/3647	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:48%20GMT	https://www.harvestcoin.org/images/hw3.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/hw3.png	(from https://www.harvestcoin.org/)
16:56:39	199020/199020	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:54%20GMT	https://www.harvestcoin.org/images/how-it-work-bottom.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/how-it-work-bottom.png	(from https://www.harvestcoin.org/)
16:56:39	57964/57964	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2015:32:34%20GMT	https://www.harvestcoin.org/images/white-paper.jpg	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/white-paper.jpg	(from https://www.harvestcoin.org/)
16:56:39	27976/27976	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:40%20GMT	https://www.harvestcoin.org/images/video-bg.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/video-bg.png	(from https://www.harvestcoin.org/)
16:56:40	64521/64521	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Dec%202017%2014:07:40%20GMT	https://www.harvestcoin.org/images/home_new.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/home_new.png	(from https://www.harvestcoin.org/)
16:56:41	48948/48948	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Dec%202017%2014:07:45%20GMT	https://www.harvestcoin.org/images/logo_new_3.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/logo_new_3.png	(from https://www.harvestcoin.org/)
16:56:42	40140/40140	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2016:12:38%20GMT	https://www.harvestcoin.org/images/where-do-start-new.jpg	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/where-do-start-new.jpg	(from https://www.harvestcoin.org/)
16:56:42	290889/290889	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2017:02:30%20GMT	https://www.harvestcoin.org/images/where-do-start.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/where-do-start.png	(from https://www.harvestcoin.org/)
16:56:42	2623/2623	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:58%20GMT	https://www.harvestcoin.org/images/cross-x.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/cross-x.png	(from https://www.harvestcoin.org/)
16:56:43	56752/56752	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2007:38:20%20GMT	https://www.harvestcoin.org/images/coinmarketcap1.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/coinmarketcap1.png	(from https://www.harvestcoin.org/)
16:56:43	3782/3782	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2013:37:21%20GMT	https://www.harvestcoin.org/images/logo1.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/logo1.png	(from https://www.harvestcoin.org/)
16:56:44	24724/24724	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2008:08:08%20GMT	https://www.harvestcoin.org/images/bitcointalk-logo2.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/bitcointalk-logo2.png	(from https://www.harvestcoin.org/)
16:56:44	15021/15021	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2007:38:21%20GMT	https://www.harvestcoin.org/images/github1.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/github1.png	(from https://www.harvestcoin.org/)
16:56:45	51379/51379	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:02:49%20GMT	https://www.harvestcoin.org/images/maxresdefault_gide.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/maxresdefault_gide.png	(from https://www.harvestcoin.org/)
16:56:45	14274/14274	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Sep%202017%2015:32:34%20GMT	https://www.harvestcoin.org/images/white-loog.png	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/images/white-loog.png	(from https://www.harvestcoin.org/)
16:56:46	11365/11365	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202018%2010:26:11%20GMT	https://www.harvestcoin.org/terms.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/terms.html	(from https://www.harvestcoin.org/)
16:56:47	20136/20136	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Feb%202018%2010:26:06%20GMT	https://www.harvestcoin.org/privacy.html	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/privacy.html	(from https://www.harvestcoin.org/)
16:56:47	17288/17288	---M--	200	added ('OK')	application/javascript	date:Fri,%2029%20Sep%202017%2015:33:04%20GMT	https://www.harvestcoin.org/js/css3-animate-it.js	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/js/css3-animate-it.js	(from https://www.harvestcoin.org/)
16:56:48	36940/36940	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2022%20May%202017%2019:46:56%20GMT	https://www.harvestcoin.org/fonts/American_Captain_Patrius/American_Captain_Patrius_02_FRE.eot?	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/fonts/American_Captain_Patrius/American_Captain_Patrius_02_FREd41d.eot	(from https://www.harvestcoin.org/css/style.css)
16:56:49	16044/16044	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2022%20May%202017%2019:46:54%20GMT	https://www.harvestcoin.org/fonts/American_Captain_Patrius/American_Captain_Patrius_02_FRE.woff	C:/My%20Web%20Sites/harvest/www.harvestcoin.org/fonts/American_Captain_Patrius/American_Captain_Patrius_02_FRE.woff	(from https://www.harvestcoin.org/css/style.css)
